Month,Day,Day of Week,Hour,Occupancy
12,30,6,0,0.625
12,30,6,1,0.375
12,30,6,2,0.375
12,30,6,3,0.0
12,30,6,4,0.0
12,30,6,5,0.0
12,30,6,6,0.0
12,30,6,7,0.375
12,30,6,8,0.75
12,30,6,9,1.75
12,30,6,10,2.625
12,30,6,11,3.875
12,30,6,12,4.875
12,30,6,13,5.5
12,30,6,14,5.875
12,30,6,15,5.5
12,30,6,16,5.5
12,30,6,17,4.625
12,30,6,18,4.25
12,30,6,19,3.25
12,30,6,20,2.625
12,30,6,21,2.25
12,30,6,22,1.75
12,30,6,23,1.0
12,31,0,0,0.875
12,31,0,1,0.5
12,31,0,2,0.375
12,31,0,3,0.0
12,31,0,4,0.0
12,31,0,5,0.0
12,31,0,6,0.0
12,31,0,7,0.125
12,31,0,8,0.0
12,31,0,9,0.875
12,31,0,10,1.375
12,31,0,11,2.75
12,31,0,12,3.875
12,31,0,13,4.25
12,31,0,14,4.75
12,31,0,15,4.25
12,31,0,16,3.625
12,31,0,17,3.125
12,31,0,18,2.75
12,31,0,19,2.75
12,31,0,20,2.375
12,31,0,21,2.25
12,31,0,22,2.625
12,31,0,23,1.75
